german_word,english_word
plötzlich,suddenly
regelmäßig,regular
schnell,quick(ly)
schon,already
seit,since; for (length of time)
selten,seldom; rarely
sofort,immediately; straight away
täglich,daily
übermorgen,the day after tomorrow
Vergangenheit die,past (time; tense)
(bis) vor kurzem,(until) recently
vorgestern,the day before yesterday
vorher,before(hand)
Vormittag der,morning
Zeitpunkt der,point in time
zu Ende sein,to come to an end; to finish
Zukunft die,future (time; tense)
außen,outside
außerhalb,outside of
da,here; there
draußen,outside; outdoors
drinnen,inside; indoors
drüben,over there
entfernt,distant; (far) away
geradeaus,straight ahead
her~,from ~ (towards the speaker)
hin und her,to and fro
hin und zurück,there and back; return (ticket)
hin~,away ~ (from the speaker)
in der Nähe von,nearby; close to
irgendwo,somewhere
liegen,to lie; to be situated (in)
Meile die,mile
mitten in,in the middle of
nah,near
nirgendwo,nowhere
oben,above; up
Ort der,place
überall,everywhere
unten,at the bottom; below; down
vorwärts,forwards
weit,wide; far
zurück,back
alle (-r; -s),all; all the
alle sein,to be all gone; to have run out (of)
alles,everything
anderer/andere/anderes,other; different
beide,both
breit,wide; broad
dick,thick; fat
Ding das,thing
Dose die,can; tin
dünn,thin
ein bisschen,a little
ein paar,a few; a couple
eine Menge,a lot of; lots
einige,some; a few
einzeln,single
etwa,about; roughly
Flasche die,bottle
ganz,whole; complete; quite
genug,enough
gewaltig,enormously
Größe die,size
irgend...,some...
Karton der,cardboard box
Kasten der,box; case; crate
kaum,hardly
leer,empty
leicht,light
Maß das,measure
mehrere,several
messen,to measure
mindestens,at least
mittelgroß,medium-sized
noch,still
Päckchen das,small parcel
Packung die,packet; pack
Paket das,parcel
Pfund das,pound
pro,per
Schachtel die,box; packet
Scheibe die,slice
schwer,heavy
Stück das,piece
Tüte die,bag
ungefähr,about
voll,full
wenig,little; not much
wiegen,to weigh
Kreis der,circle
rund,round
viereckig,square
bedeckt,overcast; cloudy
Blitz der,lightning
Donner der,thunder
es blitzt,it's lightning
es donnert,it's thundering
es hagelt,it's hailing
feucht,damp
frieren,to freeze
frisch,fresh
Gewitter das,thunderstorm
Grad der,degree
Hagel der,hail
heftig,heavy; severe
heiter,bright; fine; clear; fair
Himmel der,sky
Klima das,climate
kühl,cool
Mond der,moon
nass,wet
Nebel der,fog
nebelig,foggy
Niederschlag der,precipitation
Regen der,rain
regnen,to rain
Schatten der,shadow
schattig,shady
Schauer der,shower
scheinen,shine
schneien,to snow
Sturm der,storm
stürmisch,stormy
trocken,dry
Wetterbericht der,weather report
Wettervorhersage die,weather forecast
Wolke die,cloud
wolkig,cloudy
auf sein,to be open
aufmachen,to open
Ausfahrt die,exit (motorway)
Ausgang der,exit (building)
besetzt,occupied; engaged
Einfahrt die,entry; entrance
Eingang der,entrance (building)
Eintritt der,admission
frei,free
geschlossen,closed
offen,open
öffnen,to open
schließen,to close
verboten,forbidden
zu sein,to be closed
zumachen,to close
falsch,false; wrong; incorrect
Fehler der,mistake; error
Recht haben,to be right
richtig,right; correct
Unrecht haben,to be wrong
verbessern,to correct; to improve
Verbesserung die,correction; improvement
Baumwolle die,cotton
bestehen aus,to consist of; to be made of/from
Eisen das,iron
Holz das,wood
Leder das,leather
Pappe die,cardboard
Seide die,silk
Stoff der,material
Wolle die,wool
£ = Pfund das,£ = pound sterling
AG = Arbeitsgruppe; Arbeitsgemeinschaft,work group (extra-curricular; school)
d.h. = das heißt,ie = that is
DB = Deutsche Bahn,German Railways
Dr = Doktor der,doctor
gem. = gemischt,mixed
ICE = Inter-City-Express der,fast long-distance train
inkl. = inklusive,included
LKW = Lastkraftwagen der,HGV; lorry
PLZ = Postleitzahl die,postcode
usw. = und so weiter,etc = and so on
z.B. = zum Beispiel,eg = for example
allein,alone
Alter das,age
altmodisch,old-fashioned
ärgern (sich),to be annoyed
auf die Nerven gehen,to get on one's nerves
auskommen (mit),to get on (with)
aussehen,to look like
Ausweis der,identity card
Bart der,beard
berühmt,famous
Besuch der,visit
besuchen,to visit
bevorzugen,to favour; to prefer
bitten,to ask; to beg
Brieffreund der,pen-friend
Brille die,spectacles; glasses
egoistisch,selfish
ehrlich,honest
Einzelkind das,only child
Enkelkind das,grandchild
entschuldigen (sich),to apologise
erlauben,to allow
ernst,serious
Erwachsene der/die,adult; grown-up
Familienmitglied das,member of the family
frech,cheeky
Freundschaft die,friendship
fühlen (sich),to feel
füttern,to feed
geboren (am),born (on)
Geburt die,birth
Geburtsdatum das,date of birth
Geburtsort der,place of birth
geduldig,patient
Gefühl das,feeling
gemein,mean
gern haben,to like
geschieden,divorced
Geschlecht das,sex; gender
getrennt,separated
glatt,straight; smooth
glücklich,happy
Grund der,reason
gut/schlecht gelaunt,good/bad tempered
gute/schlechte Laune haben,to be in a good/bad mood
hässlich,ugly
heiraten,to marry
hilfsbereit,helpful
Hochzeit die,wedding
höflich,polite
hübsch,pretty
humorlos,humourless; no sense of humour
humorvoll,humorous; witty
ich kann ... gut leiden,I like ... (very much)
ich kann ... nicht leiden,I can't stand .../I don't like ...
Jugendliche der/die,youth
Junge der,boy
kennen,to know (a person)
kennen lernen,to get to know
komisch,funny; comical; strange; odd
kümmern (sich um),to look after
Kuss der,kiss
küssen,to kiss
leben,to live
ledig,single
Leute (pl),people
lockig,curly
Mensch der,human being
nennen,to name; to call
nerven,to get on someone's nerves
Ohr das,ear
ordentlich,tidy; neat
Persönlichkeit die,personality
Reisepass der,passport
ruhig,quiet; calm
schämen (sich),to be/feel ashamed
scheiden (sich lassen),to get divorced
Schnurrbart der,moustache
schüchtern,shy
selbst,self
selbstständig,independent
sorgen (für),to care (for); to look after
Spitzname der,nick name
Stief~,step ~
still,quiet
Streit der,argument
streiten (sich),to quarrel; to argue
streng,strict
Tätowierung die,tattoo
Traum der,dream
traurig,sad
trennen (sich),to separate
Typ der,type; person; bloke
unternehmungslustig,adventurous; like doing lots of things
vergeben,to forgive
Verhältnis das,relationship
verheiratet,married
verloben (sich),to get engaged
verlobt,engaged (to someone)
verstehen (sich mit),to get on with
Vorname der,first name
vorstellen (sich),to introduce oneself
weinen,to cry
witzig,funny
Wohnort der,place of living
Zahn der,tooth
zivile Partnerschaft die,civil partnership
zusammen,together
Zwillinge (pl),twins
(aus) drucken,to print (out)
Anrufbeantworter der,(telephone) answering machine
anrufen,to call; to ring (phone)
benutzen/benützen,to use
beschreiben (sich),to describe (oneself)
Bindestrich der,dash; hyphen
Daten (pl),data
Drucker der,printer
eingeben,to enter (data into computer/phone)
empfangen,to receive
entwickeln,to develop
Entwicklung die,development
funktionieren,to work; to function
Gefahr die,danger
gehören (zu),to belong (to)
herunterladen,download
hochladen,upload
Klingelton der,ringtone
lehrreich,informative; instructive; educational
löschen,to delete
Medien (pl),media
Missbrauch der,abuse
missbrauchen,to abuse
Netz das,net
Netzwerk das,network
peinlich,embarrassing
Postfach das,mail box (email)
Punkt der,dot
Rechner der,calculator (phone)
Risiko das,risk
schicken,to send
Schrägstrich der,forward slash
Schutz der,protection
simsen,to send an SMS/text message
soziale Medien (pl),social media
speichern,to save (data on computer)
Startseite die,homepage (internet)
teilen,to share
Unterstrich der,underscore
WLAN,WiFi/wifi
Abenteuerfilm der,adventure film
amüsieren (sich),to have fun; to enjoy oneself
Ananas die,pineapple
anfangen,to start; begin
angeln,to fish
Apfelsine die,orange
Aprikose die,apricot
Badeanzug der,swim suit
Badehose die,swimming trunks
bedienen,to serve
Bedienung; bitte!,Service; please!
beschweren (sich),to complain
bestellen,to order
bezahlen,to pay
Bildschirm der,screen (TV; computer)
Birne die,pear
Blockflöte die,recorder
Blumenkohl der,cauliflower
Bohne die,bean
Braten der,roast meat; joint
Bratwurst die,fried sausage
drücken,press
Durst der,thirst
durstig,thirsty
Ei das,egg
Eintrittsgeld das,admission fee
Eintrittskarte die,(admission) ticket
Eisdiele die,ice cream parlour
Eislaufen das,ice-skating
empfehlen,to recommend
Erbse die,pea
Erdbeere die,strawberry
Essig der,vinegar
fechten,to fence
Federball der,badminton
folgen,to follow
Freibad das,outdoor swimming pool
Frikadelle die,rissole; meat ball
Fruchtsaft der,fruit juice
Gasthaus das,inn; pub
Gurke die,cucumber
Haferflocken (pl),(porridge) oats
Hallenbad das,indoor swimming pool
hart,hard
Hauptgericht das,main course
Herr Ober!,Waiter!
Himbeere die,raspberry
holen,to fetch; to get
Imbiss der,snack
Imbissbude die,snack bar; takeaway
Imbissstand der,snack bar; takeaway
Interesse haben an,to be interested in
Jugendklub der,youth club
Kakao der,cocoa
Kännchen das,pot (tea; coffee)
Kartoffel die,potato
Käse der,cheese
kegeln,bowling (nine pin)
Keks der,biscuits
Kirsche die,cherry
klettern,to climb
Korbball der,netball
köstlich,delicious
Kotelett das,pork chop
Krimi der,crime (film/book); thriller
lachen,to laugh
laufen,to run
lecker,tasty
Leinwand die,(big) screen (in cinema)
Liebesfilm der,film with a love story
Lied das,song
Lust haben etwas zu tun,to feel like doing something
Mitglied das,member
Nachrichten (pl),news
Nachspeise die,dessert
Nachtisch der,dessert
Nudeln (pl),noodles; pasta
Nuss die,nut
Obst das,fruit
Öl das,oil
Pfeffer der,pepper
Pfirsich der,peach
Pflaume die,plum
Pilz der,mushroom
Praline die,chocolate (in a box of chocolates)
probieren,to try; to taste
Pute die,turkey
Rechnung die,bill
rennen,to run
riechen,to smell
ringen,to wrestle
rodeln,to go sledging
roh,raw
Rollschuh laufen,to go roller skating
rudern,to row
Saft der,juice
Sahne die,cream
sammeln,to collect
satt sein,to be full up; have had enough (to eat)
Schach das,chess
scharf,spicy; hot
Schaschlik das,kebab
schießen,to shoot
schmecken,to taste
Schnellimbiss der,snack bar
Segelboot das,sailing boat
segeln,to sail
Seifenoper die,soap opera
Selbstbedienung die,self-service
Sendung die,programme
Senf der,mustard
Serie die,series
Sitz(platz) der,seat
sitzen,to sit
spannend,exciting; thrilling
Speisekarte die,menu
Speisesaal der,dining hall; dining room
Spielzeug das,toy(s)
Spinat der,spinach
Sportart die,type of sport
springen,to jump
Stadion das,stadium
Stehcafé das,small area with tables in a bakery or supermarket (but no seating)
Stimme die,voice
stricken,to knit
Suppe die,soup
süß,sweet
Tagesgericht das,dish of the day
Tagesmenü das,menu of the day
tauchen,to dive
Thunfisch der,tuna
Tor das,goal
Torte die,gateau
Trainingsanzug der,track suit
Trainingsschuh der,sport shoe; trainers
treffen (sich mit),to meet (someone)
Trinkgeld das,tip (for waiter/waitress)
turnen,to do gymnastics
unterhalten (sich),to have a chat
Unterhaltung die,entertainment
Vegetarier der,vegetarian
verlieren,to lose
Volksmusik die,folk music
vorschlagen,to suggest
Vorspeise die,starter (on menu)
Vorstellung die,showing; performance
wandern,to hike; to walk
weich,soft
(Wiener) Schnitzel das,veal/pork cutlet (boneless)
Weintraube die,grape
Werbung die,advert(isement)
werfen,to throw
Wettbewerb der,competition
Wurst die,sausage
zahlen,to pay
Zeichentrickfilm der,cartoon
Zeitschrift die,magazine
Zeitung die,newspaper
Zeug das,stuff; things; gear
ziehen,pull
Zitrone die,lemon
Zucker der,sugar
Zuschauer der,spectator; member of the audience
Zwiebel die,onion
Adventskranz der,advent wreath
anzünden,to light
Aschermittwoch der,Ash Wednesday
bekommen,to get; to receive
danken,to thank
einladen,to invite
Einladung die,invitation
Feier die,celebration
feiern,to celebrate
Feiertag der,public holiday
Fest das,festival; celebration
Feuerwerk das,fireworks
freuen (sich auf),to look forward to
freuen (sich über),to be pleased about something
Gast der,guest
Gastgeber der,host
Geschenk das,present
Heiliger Abend (24 Dez),Christmas Eve
Heilige Drei Könige (6 Jan),Epiphany
Karfreitag der,Good Friday
Karneval der,carnival
Kerze die,candle
kirchlich,religious
Lebkuchen der,type of gingerbread
Maifeiertag der,May Day
Muttertag der,Mother's Day
Neujahrstag der (1 Jan),New Year's Day
Osterei das,Easter egg
Osterhase der,Easter bunny
Ostern,Easter
Pfingsten,Whitsuntide
Sankt Nikolaus (Tag) (6 Dez),St Nicholas' Day
schmücken,to decorate
Silvester,New Year's Eve
Tag der Deutschen Einheit (3 Okt),Day of German Unity
Valentinstag der (14 Feb),St Valentine's Day
verkleiden (sich),to dress up; to disguise oneself; to put on fancy dress
verstecken,to hide
Weihnachten,Christmas
Weihnachtsbaum der,Christmas tree
Weihnachtslieder (pl),Christmas carols
1. (erste) Weihnachtstag der,Christmas Day
2. (zweite) Weihnachtstag der,Boxing Day
Ampel die,traffic light
anbieten,to offer
Angebot das,offer
anmachen,to turn/switch on
anprobieren,to try on (clothes)
Apotheke die,pharmacy
Apparat der,apparatus; appliance; gadget
aufräumen,to tidy (up)
ausgeben,to spend (money)
ausmachen,to turn/switch off
Ausverkauf der,sale
ausverkauft,sold out
Bäckerei die,bakery
Backofen der,oven
baden,to have a bath
Badewanne die,bathtub
Bauernhaus das,farm house
Bauernhof der,farm
Baum der,tree
Berg der,mountain
Bild das,picture
Blume die,flower
braten,to fry
Brücke die,bridge
Bücherei die,library
Buchhandlung die,book shop
Bürgersteig der,pavement
Dach das,roof
Dachboden der,attic; loft
Decke die,ceiling; blanket
Denkmal das,monument
Diele die,hall
Dom der,cathedral
Doppelhaus das,semi-detached house
Drogerie die,chemist's
Ecke die,corner
eigen,own
Einfamilienhaus das,detached house
einkaufen,to shop
Einkaufskorb der,shopping basket
Einkaufstasche die,shopping bag
Einkaufswagen der,shopping trolley
einpacken,to wrap (up)
Einwohner der,inhabitant
Elektrogeschäft das,shop for electrical goods
Erdgeschoss das,ground floor
Etage die,floor; storey
Etagenbett das,bunk bed
Fabrik die,factory
Feld das,field
flach,flat
Fleischerei die,butcher's
Flur der,hall; coridor
Fluss der,river
Friseur (salon) der,hairdresser's
Fußboden der,floor
Fußgängerzone die,pedestrian precinct
Gabel die,fork
Gasherd der,gas cooker
Gebäude das,building
Gegend die,region; area
günstig,reasonable; good value for money
Hafen der,harbour; port
Haltestelle die,stop (bus; tram etc)
Hauptbahnhof der,main railway station
Hauptstadt die,capital city
Haushalt der,household
Hecke die,hedge
Helm der,helmet
Herd der,cooker; stove
Hochhaus das,high rise block of flats
Hügel der,hill
Insel die,island
Juweliergeschäft das,jeweller's
kaputt,broken
Kasse die,till; cash point
Kaufhaus das,department store
Kirchturm der,church tower; spire
Kleidergeschäft das,clothes shop
klingeln,to ring (bell)
klopfen,to knock (door)
kochen,to cook
Kochfeld das,hob
Kommode die,chest of drawers
Konditorei die,confectioner's
Kopfkissen das,pillow
kostenlos,free of charge
Kreuzung die,crossroads
Kühlschrank der,fridge
Kunde der,customer
Kunstgalerie die,art gallery
Laden der,shop
Land das,land; countryside
Landschaft die,landscape
Lebensmittelgeschäft das,grocer's
leeren,to empty
legen,to lay; to put; to place (down)
Licht das,light
liefern,to deliver
Löffel der,spoon
mähen,to mow
Mahlzeit die,meal; meal time
Marke die,brand; make
Marktplatz der,market place
Mauer die,wall (outside)
Messer das,knife
Metzgerei die,butcher's
Miete die,rent
mieten,to rent; to hire
Mikrowelle die,microwave oven
Möbel (pl),furniture
Mofa das,(motorised) bicycle
Motorrad das,motor bike
nach Hause,(going) home
nach oben,upstairs
nach unten,downstairs
Nachbar der,neighbour
Nachteil der,disadvantage
Nachttisch der,bedside cabinet
Obst- und Gemüseladen der,green grocer's
Ordnung die,order
Parkplatz der,parking place
Pflanze die,plant
Plakat das,poster; billboard
Platz der,place; square
putzen,to clean
Quittung die,receipt
Rasen der,lawn
Regal das,shelf
Reihenhaus das,terraced house
Reinigung die,dry cleaner's
Rolltreppe die,escalator
Sache die,thing; stuff
sauber machen,to clean
S-Bahn die,suburban (fast) railway
Schaufenster das,shop window
Schlange stehen,to queue
Schlüssel der,key
Schrank der,cupboard
Schreibwarengeschäft das,stationery shop
Schublade die,drawer
Sonderangebot das,special offer
Sonst noch etwas?,Anything else?
Spiegel der,mirror
Spielplatz der,play ground
Stadtrand der,outskirts of a town
stecken,to put (something into)
stellen,to put; to place (upright)
Straßenbahn die,tram
tanken,to fill up with petrol/diesel
Tankstelle die,petrol station
Tasse die,cup
Teelöffel der,teaspoon
Teller der,plate
Teppich der,carpet
Tiefkühlschrank der,freezer
Tischdecke die,table cloth
Topf der,pan
Treppe die,stairs
Turm der,tower
U-Bahn die,underground train; tube
umgeben von,surrounded by
Umgebung die,surrounding area
umziehen,to move (house)
Vorhang der,curtain
Vorort der,suburb
Vorteil der,advantage
Wald der,wood; forest
Wand die,wall (inside)
Warenhaus das,department store
Waschbecken das,wash basin
Wiese die,meadow
Wintergarten der,conservatory
Wohnblock der,block of flats
Zebrastreifen der,zebra crossing
abhängig sein von,to be dependent on
abnehmen,to lose weight
Ader die,vein
Altenheim das,old people's home
anonym,anonymous
atmen,breath
aufgeben,to give up
aufhören,to stop
Ausländer der,foreigner
ausländisch,foreign
betrunken,drunk; intoxicated
Bewegung die,movement; exercise
bewusstlos,unconscious
Bewusstsein das,consciousness
Bio~,biological ~; organic
Blut das,blood
brechen,to be sick; to break
Droge die,drug
Drogenhändler der,drug dealer
Drogensüchtige der/die,drug addict
Einwanderer der,immigrant
entspannen (sich),to relax
Ernährung die,food; nourishment; nutrition
Erste Hilfe,First Aid
es geht mir gut/schlecht,I am fine; well/not well
Fett das,fat
fettig,fatty
fettleibig,obese
Feuerwehr die,fire brigade
freiwillig,voluntarily
Freiwillige der/die,volunteer
gebrochen,broken
gesund,healthy
Gesundheit die,health
Gewicht das,weight
gewinnen,to win
halten,to hold; to keep
Hautfarbe die,colour of the skin
Heim das,home; hostel
helfen,to help
Herz das,heart
Hilfe die,help
hilflos,helpless
in Form sein,to be in form/in (good) shape
krank,ill
Krankenhaus das,hospital
Krankenwagen der,ambulance
Krankheit die,illness
Krebs der,cancer
Leber die,liver
Magen der,stomach
Medikament das,medicine
Preis der,prize
Rasse die,race
Rassismus der,racism
rassistisch,racist
rauchen,to smoke
Ruhe die,peace; quiet; tranquillity
Schmerz der,pain; ache
...schmerzen haben,to have ...ache
Sorge die,worry
sorgen für,to care for; to look after
spenden,to donate
Spritze die,syringe; injection
spritzen,to inject
sterben,to die
Sucht die,addiction
süchtig,addicted; addictive
Tierheim das,animal shelter
tot,dead
übel (mir ist),I feel ill; sick
Unfall der,accident
Vene die,vein
Verkehrsunfall der,traffic accident
verletzen (sich),to be/get injured
Verletzung die,injury
weh tun,to hurt
Wohltätigkeit die,charity
Wohltätigkeitskonzert das,charity concert
Wohltätigkeitsveranstaltung die,charity event
zunehmen,to put on weight
Abfall der,rubbish; waste
Abfalleimer der,rubbish bin; litter bin
Abgase (pl),exhaust fumes
Achtung die,respect; esteem
alternative Energiequelle die,alternative source of energy
Altpapier das,waste paper
anbauen,to grow
arbeitslos,unemployed
arm,poor
Armut die,poverty
aussterben,to die out
bedrohen,to threaten
Benzin das,petrol
Bettler der,beggar
Bevölkerung die,population
biologisch,biological; organic
Biomüll der,organic waste
bleifrei,lead free
brauchen,to need
Brennstoff der,fuel
chemisch,chemical(ly)
Dieb der,thief
Diskriminierung die,discrimination
einsam,lonely
entsorgen,to dispose of (waste; refuse; sewage)
erfrieren,to freeze to death
Fahrradweg der,bicycle track/lane
FCKWs,CFCs
fliehen,to flee
Flüchtling der,refugee
Gebrauch der,usage
gefährlich,dangerous
Gesellschaft die,society
Gewalt die,violence
gewalttätig,violent
heizen,to heat
Heizung die,heating
Kaugummi der,chewing gum
keinen festen Wohnsitz haben,to have no fixed abode
Kohle die,coal
Kraftwerk das,power station
Krieg der,war
Kunststoff der,man-made/synthetic material
Lärm der,noise
laut,noisy
Leben das,life
Luft die,air
Luftverschmutzung die,air pollution
Müll der,refuse; waste; rubbish
Mülltonne die,dustbin
obdachlos,homeless
öffentlich,public(ly)
Opfer das,victim
Ozonloch das,hole in the ozone layer
Ozonschicht die,ozone layer
Pfand das,deposit
reich,rich
reinigen,to clean
sauber,clean
Sauerstoff der,oxygen
saure Regen der,acid rain
Schaden der,damage
schädlich,harmful
Schale die,skin (fruit); peel (potato); shell (egg)
schmutzig,dirty
schützen,to protect
schwach,weak
Solarzelle die,solar cell
Sonnenenergie die,solar energy
Sozialhilfe die,income support
Sozialwohnung die,council flat
sparen,to save; to conserve
Spraydose die,aerosol
stark,strong
stehlen,to steal
Suppenküche die,soup kitchen
Treibhauseffekt der,greenhouse effect
überbevölkert,over-populated
ultraviolette Strahlen (pl),ultra-violet rays
Umfrage die,survey; opinion poll
Umwelt die,environment
umweltfeindlich,environmentally hostile
umweltfreundlich,environmentally friendly
unterstützen,to support
Unterstützung die,support; help
Verbrauch der,consumption
Verbrechen das,crime
Verbrecher der,criminal
Verkehr der,traffic
Verkehrsmittel das,means of transport
Verpackung die,packaging
verschmutzen,to pollute
Verschmutzung die,pollution
verschwinden,to disappear
vertreiben,to drive out; to expel
Wasserkraft die,hydroelectric power
Wasserverschmutzung die,water pollution
wegwerfen,to throw away
weltweit,worldwide
zerstören,to destroy
Zuhause das,home; house
abfahren,to leave; to depart
abholen,to collect; to pick up
ankommen,to arrive
Asien,Asia
Ausflug der,trip; excursion
ausfüllen,to fill in
Ausland das,foreign country; abroad
Aussicht die,view
aussteigen,to alight; get off (bus)
Bahnsteig der,platform
Belgien,Belgium
beliebt,popular
besichtigen,to sightsee; to visit; to have a look
bleiben,to stay
Blick der,view; glance
Boot das,boat
Briefkasten der,letter box
Briefmarke die,postage stamp
Burg die,(fortified) castle
Campingplatz der,campsite
Donau die,Danube
Doppelzimmer das,double room
einsteigen,to get in/on
Einzelzimmer das,single room
entwerten,to stamp/validate a ticket
Erinnerung die,memory
erleben,to experience
Ermäßigung die,reduction
Fähre die,ferry
Fahrkarte die,ticket
Fahrkartenautomat der,ticket machine
Fahrkartenschalter der,ticket office
Fahrpreis der,fare
Fahrradvermietung die,bicycle hire
Fahrt die,journey
Flug der,flight
Flughafen der,airport
