german_word,english_word,times_correct_g2e,times_correct_e2g
mitten in,in the middle of,0,0
nah,near,0,0
nirgendwo,nowhere,0,0
oben,above; up,0,0
Ort der,place,0,0
überall,everywhere,0,0
unten,at the bottom; below; down,0,0
vorwärts,forwards,0,0
weit,wide; far,0,0
zurück,back,0,0
alle (-r; -s),all; all the,0,0
alle sein,to be all gone; to have run out (of),0,0
alles,everything,0,0
anderer/andere/anderes,other; different,0,0
beide,both,0,0
breit,wide; broad,0,0
dick,thick; fat,0,0
Ding das,thing,0,0
Dose die,can; tin,0,0
dünn,thin,0,0
ein bisschen,a little,0,0
ein paar,a few; a couple,0,0
eine Menge,a lot of; lots,0,0
einige,some; a few,0,0
einzeln,single,0,0
etwa,about; roughly,0,0
Flasche die,bottle,0,0
ganz,whole; complete; quite,0,0
genug,enough,0,0
gewaltig,enormously,0,0
Größe die,size,0,0
irgend...,some...,0,0
Karton der,cardboard box,0,0
Kasten der,box; case; crate,0,0
kaum,hardly,0,0
leer,empty,0,0
leicht,light,0,0
Maß das,measure,0,0
mehrere,several,0,0
messen,to measure,0,0
mindestens,at least,0,0
mittelgroß,medium-sized,0,0
noch,still,0,0
Päckchen das,small parcel,0,0
Packung die,packet; pack,0,0
Paket das,parcel,0,0
Pfund das,pound,0,0
pro,per,0,0
Schachtel die,box; packet,0,0
Scheibe die,slice,0,0
schwer,heavy,0,0
Stück das,piece,0,0
Tüte die,bag,0,0
ungefähr,about,0,0
voll,full,0,0
wenig,little; not much,0,0
wiegen,to weigh,0,0
Kreis der,circle,0,0
rund,round,0,0
viereckig,square,0,0
bedeckt,overcast; cloudy,0,0
Blitz der,lightning,0,0
Donner der,thunder,0,0
es blitzt,it's lightning,0,0
es donnert,it's thundering,0,0
es hagelt,it's hailing,0,0
feucht,damp,0,0
frieren,to freeze,0,0
frisch,fresh,0,0
Gewitter das,thunderstorm,0,0
Grad der,degree,0,0
Hagel der,hail,0,0
heftig,heavy; severe,0,0
heiter,bright; fine; clear; fair,0,0
Himmel der,sky,0,0
Klima das,climate,0,0
kühl,cool,0,0
Mond der,moon,0,0
nass,wet,0,0
Nebel der,fog,0,0
nebelig,foggy,0,0
Niederschlag der,precipitation,0,0
Regen der,rain,0,0
regnen,to rain,0,0
Schatten der,shadow,0,0
schattig,shady,0,0
Schauer der,shower,0,0
scheinen,shine,0,0
schneien,to snow,0,0
Sturm der,storm,0,0
stürmisch,stormy,0,0
trocken,dry,0,0
Wetterbericht der,weather report,0,0
Wettervorhersage die,weather forecast,0,0
Wolke die,cloud,0,0
wolkig,cloudy,0,0
auf sein,to be open,0,0
aufmachen,to open,0,0
Ausfahrt die,exit (motorway),0,0
Ausgang der,exit (building),0,0
besetzt,occupied; engaged,0,0
Einfahrt die,entry; entrance,0,0
Eingang der,entrance (building),0,0
Eintritt der,admission,0,0
frei,free,0,0
geschlossen,closed,0,0
offen,open,0,0
öffnen,to open,0,0
schließen,to close,0,0
verboten,forbidden,0,0
zu sein,to be closed,0,0
zumachen,to close,0,0
falsch,false; wrong; incorrect,0,0
Fehler der,mistake; error,0,0
Recht haben,to be right,0,0
richtig,right; correct,0,0
Unrecht haben,to be wrong,0,0
verbessern,to correct; to improve,0,0
Verbesserung die,correction; improvement,0,0
Baumwolle die,cotton,0,0
bestehen aus,to consist of; to be made of/from,0,0
Eisen das,iron,0,0
Holz das,wood,0,0
Leder das,leather,0,0
Pappe die,cardboard,0,0
Seide die,silk,0,0
Stoff der,material,0,0
Wolle die,wool,0,0
£ = Pfund das,£ = pound sterling,0,0
AG = Arbeitsgruppe; Arbeitsgemeinschaft,work group (extra-curricular; school),0,0
d.h. = das heißt,ie = that is,0,0
DB = Deutsche Bahn,German Railways,0,0
Dr = Doktor der,doctor,0,0
gem. = gemischt,mixed,0,0
ICE = Inter-City-Express der,fast long-distance train,0,0
inkl. = inklusive,included,0,0
LKW = Lastkraftwagen der,HGV; lorry,0,0
PLZ = Postleitzahl die,postcode,0,0
usw. = und so weiter,etc = and so on,0,0
z.B. = zum Beispiel,eg = for example,0,0
allein,alone,0,0
Alter das,age,0,0
altmodisch,old-fashioned,0,0
ärgern (sich),to be annoyed,0,0
auf die Nerven gehen,to get on one's nerves,0,0
auskommen (mit),to get on (with),0,0
aussehen,to look like,0,0
Ausweis der,identity card,0,0
Bart der,beard,0,0
berühmt,famous,0,0
Besuch der,visit,0,0
besuchen,to visit,0,0
bevorzugen,to favour; to prefer,0,0
bitten,to ask; to beg,0,0
Brieffreund der,pen-friend,0,0
Brille die,spectacles; glasses,0,0
egoistisch,selfish,0,0
ehrlich,honest,0,0
Einzelkind das,only child,0,0
Enkelkind das,grandchild,0,0
entschuldigen (sich),to apologise,0,0
erlauben,to allow,0,0
ernst,serious,0,0
Erwachsene der/die,adult; grown-up,0,0
Familienmitglied das,member of the family,0,0
frech,cheeky,0,0
Freundschaft die,friendship,0,0
fühlen (sich),to feel,0,0
füttern,to feed,0,0
geboren (am),born (on),0,0
Geburt die,birth,0,0
Geburtsdatum das,date of birth,0,0
Geburtsort der,place of birth,0,0
geduldig,patient,0,0
Gefühl das,feeling,0,0
gemein,mean,0,0
gern haben,to like,0,0
geschieden,divorced,0,0
Geschlecht das,sex; gender,0,0
getrennt,separated,0,0
glatt,straight; smooth,0,0
glücklich,happy,0,0
Grund der,reason,0,0
gut/schlecht gelaunt,good/bad tempered,0,0
gute/schlechte Laune haben,to be in a good/bad mood,0,0
hässlich,ugly,0,0
heiraten,to marry,0,0
hilfsbereit,helpful,0,0
Hochzeit die,wedding,0,0
höflich,polite,0,0
hübsch,pretty,0,0
humorlos,humourless; no sense of humour,0,0
humorvoll,humorous; witty,0,0
ich kann ... gut leiden,I like ... (very much),0,0
ich kann ... nicht leiden,I can't stand .../I don't like ...,0,0
Jugendliche der/die,youth,0,0
Junge der,boy,0,0
kennen,to know (a person),0,0
kennen lernen,to get to know,0,0
komisch,funny; comical; strange; odd,0,0
kümmern (sich um),to look after,0,0
Kuss der,kiss,0,0
küssen,to kiss,0,0
leben,to live,0,0
ledig,single,0,0
Leute (pl),people,0,0
lockig,curly,0,0
Mensch der,human being,0,0
nennen,to name; to call,0,0
nerven,to get on someone's nerves,0,0
Ohr das,ear,0,0
ordentlich,tidy; neat,0,0
Persönlichkeit die,personality,0,0
Reisepass der,passport,0,0
ruhig,quiet; calm,0,0
schämen (sich),to be/feel ashamed,0,0
scheiden (sich lassen),to get divorced,0,0
Schnurrbart der,moustache,0,0
schüchtern,shy,0,0
selbst,self,0,0
selbstständig,independent,0,0
sorgen (für),to care (for); to look after,0,0
Spitzname der,nick name,0,0
Stief~,step ~,0,0
still,quiet,0,0
Streit der,argument,0,0
streiten (sich),to quarrel; to argue,0,0
streng,strict,0,0
Tätowierung die,tattoo,0,0
Traum der,dream,0,0
traurig,sad,0,0
trennen (sich),to separate,0,0
Typ der,type; person; bloke,0,0
unternehmungslustig,adventurous; like doing lots of things,0,0
vergeben,to forgive,0,0
Verhältnis das,relationship,0,0
verheiratet,married,0,0
verloben (sich),to get engaged,0,0
verlobt,engaged (to someone),0,0
verstehen (sich mit),to get on with,0,0
Vorname der,first name,0,0
vorstellen (sich),to introduce oneself,0,0
weinen,to cry,0,0
witzig,funny,0,0
Wohnort der,place of living,0,0
Zahn der,tooth,0,0
zivile Partnerschaft die,civil partnership,0,0
zusammen,together,0,0
Zwillinge (pl),twins,0,0
(aus) drucken,to print (out),0,0
Anrufbeantworter der,(telephone) answering machine,0,0
anrufen,to call; to ring (phone),0,0
benutzen/benützen,to use,0,0
beschreiben (sich),to describe (oneself),0,0
Bindestrich der,dash; hyphen,0,0
Daten (pl),data,0,0
Drucker der,printer,0,0
eingeben,to enter (data into computer/phone),0,0
empfangen,to receive,0,0
entwickeln,to develop,0,0
Entwicklung die,development,0,0
funktionieren,to work; to function,0,0
Gefahr die,danger,0,0
gehören (zu),to belong (to),0,0
herunterladen,download,0,0
hochladen,upload,0,0
Klingelton der,ringtone,0,0
lehrreich,informative; instructive; educational,0,0
löschen,to delete,0,0
Medien (pl),media,0,0
Missbrauch der,abuse,0,0
missbrauchen,to abuse,0,0
Netz das,net,0,0
Netzwerk das,network,0,0
peinlich,embarrassing,0,0
Postfach das,mail box (email),0,0
Punkt der,dot,0,0
Rechner der,calculator (phone),0,0
Risiko das,risk,0,0
schicken,to send,0,0
Schrägstrich der,forward slash,0,0
Schutz der,protection,0,0
simsen,to send an SMS/text message,0,0
soziale Medien (pl),social media,0,0
speichern,to save (data on computer),0,0
Startseite die,homepage (internet),0,0
teilen,to share,0,0
Unterstrich der,underscore,0,0
WLAN,WiFi/wifi,0,0
Abenteuerfilm der,adventure film,0,0
amüsieren (sich),to have fun; to enjoy oneself,0,0
Ananas die,pineapple,0,0
anfangen,to start; begin,0,0
angeln,to fish,0,0
Apfelsine die,orange,0,0
Aprikose die,apricot,0,0
Badeanzug der,swim suit,0,0
Badehose die,swimming trunks,0,0
bedienen,to serve,0,0
Bedienung; bitte!,Service; please!,0,0
beschweren (sich),to complain,0,0
bestellen,to order,0,0
bezahlen,to pay,0,0
Bildschirm der,screen (TV; computer),0,0
Birne die,pear,0,0
Blockflöte die,recorder,0,0
Blumenkohl der,cauliflower,0,0
Bohne die,bean,0,0
Braten der,roast meat; joint,0,0
Bratwurst die,fried sausage,0,0
drücken,press,0,0
Durst der,thirst,0,0
durstig,thirsty,0,0
Ei das,egg,0,0
Eintrittsgeld das,admission fee,0,0
Eintrittskarte die,(admission) ticket,0,0
Eisdiele die,ice cream parlour,0,0
Eislaufen das,ice-skating,0,0
empfehlen,to recommend,0,0
Erbse die,pea,0,0
Erdbeere die,strawberry,0,0
Essig der,vinegar,0,0
fechten,to fence,0,0
Federball der,badminton,0,0
folgen,to follow,0,0
Freibad das,outdoor swimming pool,0,0
Frikadelle die,rissole; meat ball,0,0
Fruchtsaft der,fruit juice,0,0
Gasthaus das,inn; pub,0,0
Gurke die,cucumber,0,0
Haferflocken (pl),(porridge) oats,0,0
Hallenbad das,indoor swimming pool,0,0
hart,hard,0,0
Hauptgericht das,main course,0,0
Herr Ober!,Waiter!,0,0
Himbeere die,raspberry,0,0
holen,to fetch; to get,0,0
Imbiss der,snack,0,0
Imbissbude die,snack bar; takeaway,0,0
Imbissstand der,snack bar; takeaway,0,0
Interesse haben an,to be interested in,0,0
Jugendklub der,youth club,0,0
Kakao der,cocoa,0,0
Kännchen das,pot (tea; coffee),0,0
Kartoffel die,potato,0,0
Käse der,cheese,0,0
kegeln,bowling (nine pin),0,0
Keks der,biscuits,0,0
Kirsche die,cherry,0,0
klettern,to climb,0,0
Korbball der,netball,0,0
köstlich,delicious,0,0
Kotelett das,pork chop,0,0
Krimi der,crime (film/book); thriller,0,0
lachen,to laugh,0,0
laufen,to run,0,0
lecker,tasty,0,0
Leinwand die,(big) screen (in cinema),0,0
Liebesfilm der,film with a love story,0,0
Lied das,song,0,0
Lust haben etwas zu tun,to feel like doing something,0,0
Mitglied das,member,0,0
Nachrichten (pl),news,0,0
Nachspeise die,dessert,0,0
Nachtisch der,dessert,0,0
Nudeln (pl),noodles; pasta,0,0
Nuss die,nut,0,0
Obst das,fruit,0,0
Öl das,oil,0,0
Pfeffer der,pepper,0,0
Pfirsich der,peach,0,0
Pflaume die,plum,0,0
Pilz der,mushroom,0,0
Praline die,chocolate (in a box of chocolates),0,0
probieren,to try; to taste,0,0
Pute die,turkey,0,0
Rechnung die,bill,0,0
rennen,to run,0,0
riechen,to smell,0,0
ringen,to wrestle,0,0
rodeln,to go sledging,0,0
roh,raw,0,0
Rollschuh laufen,to go roller skating,0,0
rudern,to row,0,0
Saft der,juice,0,0
Sahne die,cream,0,0
sammeln,to collect,0,0
satt sein,to be full up; have had enough (to eat),0,0
Schach das,chess,0,0
scharf,spicy; hot,0,0
Schaschlik das,kebab,0,0
schießen,to shoot,0,0
schmecken,to taste,0,0
Schnellimbiss der,snack bar,0,0
Segelboot das,sailing boat,0,0
segeln,to sail,0,0
Seifenoper die,soap opera,0,0
Selbstbedienung die,self-service,0,0
Sendung die,programme,0,0
Senf der,mustard,0,0
Serie die,series,0,0
Sitz(platz) der,seat,0,0
sitzen,to sit,0,0
spannend,exciting; thrilling,0,0
Speisekarte die,menu,0,0
Speisesaal der,dining hall; dining room,0,0
Spielzeug das,toy(s),0,0
Spinat der,spinach,0,0
Sportart die,type of sport,0,0
springen,to jump,0,0
Stadion das,stadium,0,0
Stehcafé das,small area with tables in a bakery or supermarket (but no seating),0,0
Stimme die,voice,0,0
stricken,to knit,0,0
Suppe die,soup,0,0
süß,sweet,0,0
Tagesgericht das,dish of the day,0,0
Tagesmenü das,menu of the day,0,0
tauchen,to dive,0,0
Thunfisch der,tuna,0,0
Tor das,goal,0,0
Torte die,gateau,0,0
Trainingsanzug der,track suit,0,0
Trainingsschuh der,sport shoe; trainers,0,0
treffen (sich mit),to meet (someone),0,0
Trinkgeld das,tip (for waiter/waitress),0,0
turnen,to do gymnastics,0,0
unterhalten (sich),to have a chat,0,0
Unterhaltung die,entertainment,0,0
Vegetarier der,vegetarian,0,0
verlieren,to lose,0,0
Volksmusik die,folk music,0,0
vorschlagen,to suggest,0,0
Vorspeise die,starter (on menu),0,0
Vorstellung die,showing; performance,0,0
wandern,to hike; to walk,0,0
weich,soft,0,0
(Wiener) Schnitzel das,veal/pork cutlet (boneless),0,0
Weintraube die,grape,0,0
Werbung die,advert(isement),0,0
werfen,to throw,0,0
Wettbewerb der,competition,0,0
Wurst die,sausage,0,0
zahlen,to pay,0,0
Zeichentrickfilm der,cartoon,0,0
Zeitschrift die,magazine,0,0
Zeitung die,newspaper,0,0
Zeug das,stuff; things; gear,0,0
ziehen,pull,0,0
Zitrone die,lemon,0,0
Zucker der,sugar,0,0
Zuschauer der,spectator; member of the audience,0,0
Zwiebel die,onion,0,0
Adventskranz der,advent wreath,0,0
anzünden,to light,0,0
Aschermittwoch der,Ash Wednesday,0,0
bekommen,to get; to receive,0,0
danken,to thank,0,0
einladen,to invite,0,0
Einladung die,invitation,0,0
Feier die,celebration,0,0
feiern,to celebrate,0,0
Feiertag der,public holiday,0,0
Fest das,festival; celebration,0,0
Feuerwerk das,fireworks,0,0
freuen (sich auf),to look forward to,0,0
freuen (sich über),to be pleased about something,0,0
Gast der,guest,0,0
Gastgeber der,host,0,0
Geschenk das,present,0,0
Heiliger Abend (24 Dez),Christmas Eve,0,0
Heilige Drei Könige (6 Jan),Epiphany,0,0
Karfreitag der,Good Friday,0,0
Karneval der,carnival,0,0
Kerze die,candle,0,0
kirchlich,religious,0,0
Lebkuchen der,type of gingerbread,0,0
Maifeiertag der,May Day,0,0
Muttertag der,Mother's Day,0,0
Neujahrstag der (1 Jan),New Year's Day,0,0
Osterei das,Easter egg,0,0
Osterhase der,Easter bunny,0,0
Ostern,Easter,0,0
Pfingsten,Whitsuntide,0,0
Sankt Nikolaus (Tag) (6 Dez),St Nicholas' Day,0,0
schmücken,to decorate,0,0
Silvester,New Year's Eve,0,0
Tag der Deutschen Einheit (3 Okt),Day of German Unity,0,0
Valentinstag der (14 Feb),St Valentine's Day,0,0
verkleiden (sich),to dress up; to disguise oneself; to put on fancy dress,0,0
verstecken,to hide,0,0
Weihnachten,Christmas,0,0
Weihnachtsbaum der,Christmas tree,0,0
Weihnachtslieder (pl),Christmas carols,0,0
1. (erste) Weihnachtstag der,Christmas Day,0,0
2. (zweite) Weihnachtstag der,Boxing Day,0,0
Ampel die,traffic light,0,0
anbieten,to offer,0,0
Angebot das,offer,0,0
anmachen,to turn/switch on,0,0
anprobieren,to try on (clothes),0,0
Apotheke die,pharmacy,0,0
Apparat der,apparatus; appliance; gadget,0,0
aufräumen,to tidy (up),0,0
ausgeben,to spend (money),0,0
ausmachen,to turn/switch off,0,0
Ausverkauf der,sale,0,0
ausverkauft,sold out,0,0
Bäckerei die,bakery,0,0
Backofen der,oven,0,0
baden,to have a bath,0,0
Badewanne die,bathtub,0,0
Bauernhaus das,farm house,0,0
Bauernhof der,farm,0,0
Baum der,tree,0,0
Berg der,mountain,0,0
Bild das,picture,0,0
Blume die,flower,0,0
braten,to fry,0,0
Brücke die,bridge,0,0
Bücherei die,library,0,0
Buchhandlung die,book shop,0,0
Bürgersteig der,pavement,0,0
Dach das,roof,0,0
Dachboden der,attic; loft,0,0
Decke die,ceiling; blanket,0,0
Denkmal das,monument,0,0
Diele die,hall,0,0
Dom der,cathedral,0,0
Doppelhaus das,semi-detached house,0,0
Drogerie die,chemist's,0,0
Ecke die,corner,0,0
eigen,own,0,0
Einfamilienhaus das,detached house,0,0
einkaufen,to shop,0,0
Einkaufskorb der,shopping basket,0,0
Einkaufstasche die,shopping bag,0,0
Einkaufswagen der,shopping trolley,0,0
einpacken,to wrap (up),0,0
Einwohner der,inhabitant,0,0
Elektrogeschäft das,shop for electrical goods,0,0
Erdgeschoss das,ground floor,0,0
Etage die,floor; storey,0,0
Etagenbett das,bunk bed,0,0
Fabrik die,factory,0,0
Feld das,field,0,0
flach,flat,0,0
Fleischerei die,butcher's,0,0
Flur der,hall; coridor,0,0
Fluss der,river,0,0
Friseur (salon) der,hairdresser's,0,0
Fußboden der,floor,0,0
Fußgängerzone die,pedestrian precinct,0,0
Gabel die,fork,0,0
Gasherd der,gas cooker,0,0
Gebäude das,building,0,0
Gegend die,region; area,0,0
günstig,reasonable; good value for money,0,0
Hafen der,harbour; port,0,0
Haltestelle die,stop (bus; tram etc),0,0
Hauptbahnhof der,main railway station,0,0
Hauptstadt die,capital city,0,0
Haushalt der,household,0,0
Hecke die,hedge,0,0
Helm der,helmet,0,0
Herd der,cooker; stove,0,0
Hochhaus das,high rise block of flats,0,0
Hügel der,hill,0,0
Insel die,island,0,0
Juweliergeschäft das,jeweller's,0,0
kaputt,broken,0,0
Kasse die,till; cash point,0,0
Kaufhaus das,department store,0,0
Kirchturm der,church tower; spire,0,0
Kleidergeschäft das,clothes shop,0,0
klingeln,to ring (bell),0,0
klopfen,to knock (door),0,0
kochen,to cook,0,0
Kochfeld das,hob,0,0
Kommode die,chest of drawers,0,0
Konditorei die,confectioner's,0,0
Kopfkissen das,pillow,0,0
kostenlos,free of charge,0,0
Kreuzung die,crossroads,0,0
Kühlschrank der,fridge,0,0
Kunde der,customer,0,0
Kunstgalerie die,art gallery,0,0
Laden der,shop,0,0
Land das,land; countryside,0,0
Landschaft die,landscape,0,0
Lebensmittelgeschäft das,grocer's,0,0
leeren,to empty,0,0
legen,to lay; to put; to place (down),0,0
Licht das,light,0,0
